753	Station_Name	Arrival_Time	Departure_Time	S_Chair	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	14:40	0	0	0	0
2	BIMAN_BANDAR	15:09	15:12	40	90	100	120
3	JAYDEBPUR	15:45	16:05	40	90	100	120
4	MIRZAPUR	16:39	16:41	80	130	155	235
5	TANGAIL	17:06	17:09	105	175	210	315
6	B._B._SETU_E	17:30	17:44	125	210	250	375
7	S._MONSUR_ALI	18:11	18:14	210	345	415	620
8	JAMTAIL	18:22	18:24	215	355	425	635
9	ULLAPARA	18:36	18:39	225	375	445	670
10	BORAL_BRIDGE	18:58	19:09	245	405	485	725
11	CHATMOHAR	19:13	19:16	250	415	500	750
12	ISHURDI_BYPASS	19:36	19:39	270	450	540	805
13	ABDULPUR	19:55	19:57	315	525	630	940
14	RAJSHAHI	20:50	-	315	525	630	940
