759	Station_Name	Arrival_Time	Departure_Time	S_Chair	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	23:10	0	0	0	0
2	BIMAN_BANDAR	23:37	23:40	40	90	100	120
3	JAYDEBPUR	00:35	00:55	40	90	100	120
4	TANGAIL	01:51	01:54	105	175	210	315
5	B._B._SETU_E	02:14	02:24	125	210	250	375
6	S._MONSUR_ALI	02:54	02:57	210	345	415	620
7	ULLAPARA	03:15	03:18	225	375	445	670
8	CHATMOHAR	03:48	03:53	250	415	500	750
9	ISHURDI_BYPASS	04:13	04:16	270	450	540	805
10	ABDULPUR	04:32	04:34	315	525	630	940
11	SHORDHA_ROAD	05:03	05:05	315	525	630	940
12	RAJSHAHI	05:30	-	315	525	630	940
